what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.update.configurator,3.3.0.v20090312,"org.eclipse.update.configurator",1313444152211
started,bundle,org.eclipse.update.core,3.2.300.v20090525,"org.eclipse.update.core",1313444152213
started,bundle,org.eclipse.update.scheduler,3.2.200.v20081127,"org.eclipse.update.scheduler",1313444152215
started,bundle,org.eclipse.wst.common.emf,1.1.301.v200908181930,"org.eclipse.wst.common.emf",1313444152216
started,bundle,org.eclipse.wst.common.emfworkbench.integration,1.1.301.v200908101600,"org.eclipse.wst.common.emfworkbench.integration",1313444152218
started,bundle,org.eclipse.wst.common.frameworks,1.1.300.v200904160730,"org.eclipse.wst.common.frameworks",1313444152219
started,bundle,org.eclipse.wst.common.frameworks.ui,1.1.301.v200908101600,"org.eclipse.wst.common.frameworks.ui",1313444152232
started,bundle,org.eclipse.wst.jsdt.manipulation,1.0.100.v200809240707,"org.eclipse.wst.jsdt.manipulation",1313444152234
started,bundle,org.eclipse.wst.ws.service.policy.ui,1.0.102.v200903070248,"org.eclipse.wst.ws.service.policy.ui",1313444152235
started,bundle,org.eclipse.core.expressions,3.4.101.R35x_v20100209,"org.eclipse.core.expressions",1313444152237
started,bundle,org.eclipse.core.filesystem,1.2.1.R35x_v20091203-1235,"org.eclipse.core.filesystem",1313444152239
started,bundle,org.eclipse.core.resources,3.5.2.R35x_v20091203-1235,"org.eclipse.core.resources",1313444152241
started,bundle,org.eclipse.debug.core,3.5.1.v20091103_r352,"org.eclipse.debug.core",1313444152243
started,bundle,org.eclipse.debug.ui,3.5.2.v20091028_r352,"org.eclipse.debug.ui",1313444152246
started,bundle,org.eclipse.equinox.app,1.2.1.R35x_v20091203,"org.eclipse.equinox.app",1313444152248
started,bundle,org.eclipse.equinox.frameworkadmin.equinox,1.0.101.R35x_v20091214,"org.eclipse.equinox.frameworkadmin.equinox",1313444152249
started,bundle,org.eclipse.equinox.p2.director,1.0.101.R35x_v20100112,"org.eclipse.equinox.p2.director",1313444152250
started,bundle,org.eclipse.equinox.p2.engine,1.0.102.R35x_v20091117,"org.eclipse.equinox.p2.engine",1313444152252
started,bundle,org.eclipse.equinox.p2.repository,1.0.1.R35x_v20100105,"org.eclipse.equinox.p2.repository",1313444152253
started,bundle,org.eclipse.equinox.preferences,3.2.301.R35x_v20091117,"org.eclipse.equinox.preferences",1313444152254
started,bundle,org.eclipse.equinox.simpleconfigurator.manipulator,1.0.101.R35x_v20100209,"org.eclipse.equinox.simpleconfigurator.manipulator",1313444152255
started,bundle,org.eclipse.jdt.core,3.5.2.v_981_R35x,"org.eclipse.jdt.core",1313444152259
started,bundle,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui",1313444152270
started,bundle,org.eclipse.jem,2.0.301.v201001252130,"org.eclipse.jem",1313444152293
started,bundle,org.eclipse.jem.util,2.0.201.v201001252130,"org.eclipse.jem.util",1313444152294
started,bundle,org.eclipse.jface,3.5.2.M20100120-0800,"org.eclipse.jface",1313444152296
started,bundle,org.eclipse.jst.common.project.facet.core,1.4.1.v200911141836,"org.eclipse.jst.common.project.facet.core",1313444152296
started,bundle,org.eclipse.jst.j2ee,1.1.301.v201001272230,"org.eclipse.jst.j2ee",1313444152324
started,bundle,org.eclipse.jst.j2ee.core,1.1.301.v200911302230,"org.eclipse.jst.j2ee.core",1313444152333
started,bundle,org.eclipse.jst.j2ee.ui,1.1.301.v201001252130,"org.eclipse.jst.j2ee.ui",1313444152357
started,bundle,org.eclipse.jst.jee,1.0.201.v201002021055,"org.eclipse.jst.jee",1313444152366
started,bundle,org.eclipse.jst.jsf.common,1.1.9.v201001271707,"org.eclipse.jst.jsf.common",1313444152368
started,bundle,org.eclipse.jst.jsf.core,1.2.5.v201001271707,"org.eclipse.jst.jsf.core",1313444152371
started,bundle,org.eclipse.team.core,3.5.1.r35x_20100113-0800,"org.eclipse.team.core",1313444152372
started,bundle,org.eclipse.team.cvs.ui,3.3.202.r35x_20090930-0800,"org.eclipse.team.cvs.ui",1313444152374
started,bundle,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui",1313444152376
started,bundle,org.eclipse.ui.ide,3.5.2.M20100113-0800,"org.eclipse.ui.ide",1313444152381
started,bundle,org.eclipse.ui.intro,3.3.2.v20100111_35x,"org.eclipse.ui.intro",1313444152391
started,bundle,org.eclipse.ui.navigator,3.4.2.M20100120-0800,"org.eclipse.ui.navigator",1313444152393
started,bundle,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"org.eclipse.ui.workbench",1313444152396
started,bundle,org.eclipse.ui.workbench.texteditor,3.5.1.r352_v20100105,"org.eclipse.ui.workbench.texteditor",1313444152399
started,bundle,org.eclipse.wst.common.modulecore,1.1.301.v201001252130,"org.eclipse.wst.common.modulecore",1313444152419
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.1.v200911141735,"org.eclipse.wst.common.project.facet.core",1313444152419
started,bundle,org.eclipse.wst.jsdt.core,1.0.201.v2010012803,"org.eclipse.wst.jsdt.core",1313444152422
started,bundle,org.eclipse.wst.jsdt.ui,1.0.201.v2010012803,"org.eclipse.wst.jsdt.ui",1313444152422
started,bundle,org.eclipse.wst.server.core,1.1.102.v20100123,"org.eclipse.wst.server.core",1313444152424
started,bundle,org.eclipse.wst.server.ui,1.1.103.v20100123,"org.eclipse.wst.server.ui",1313444152427
started,bundle,org.eclipse.wst.sse.core,1.1.402.v201001251516,"org.eclipse.wst.sse.core",1313444152429
started,bundle,org.eclipse.wst.sse.ui,1.1.102.v200910200227,"org.eclipse.wst.sse.ui",1313444152431
started,bundle,org.eclipse.wst.validation,1.2.104.v200911120201,"org.eclipse.wst.validation",1313444152442
started,bundle,org.eclipse.wst.web,1.1.301.v200911302230,"org.eclipse.wst.web",1313444152444
started,bundle,org.eclipse.wst.xml.core,1.1.402.v201001222130,"org.eclipse.wst.xml.core",1313444152466
started,bundle,org.guvnor.tools,5.1.0.v201006011046R-H111-31764,"org.guvnor.tools",1313444152468
started,bundle,org.jboss.tools.jbpm.common,4.3.0.v201005180913,"org.jboss.tools.jbpm.common",1313444152469
started,bundle,org.jboss.tools.jmx.core,1.1.1.v201006011046R-H111-GA,"org.jboss.tools.jmx.core",1313444152470
started,bundle,org.jboss.tools.smooks.ui,1.1.1.v201006011046R-H111-GA,"org.jboss.tools.smooks.ui",1313444152470
started,bundle,org.jbpm.gd.jpdl,3.2.0.v201005180913,"org.jbpm.gd.jpdl",1313444152472
started,bundle,org.jboss.tools.struts.ui,3.0.0.GA-R200905070146-H18,"org.jboss.tools.struts.ui",1313444152472
started,bundle,org.eclipse.team.svn.core,0.7.8.I20091023-1300,"org.eclipse.team.svn.core",1313444152474
started,bundle,org.eclipse.team.svn.mylyn,0.7.8.I20091023-1300,"org.eclipse.team.svn.mylyn",1313444152474
started,bundle,org.eclipse.team.svn.ui,0.7.8.I20091023-1300,"org.eclipse.team.svn.ui",1313444152478
started,bundle,org.polarion.eclipse.team.svn.connector.svnkit16,2.2.1.I20091009-1900,"org.polarion.eclipse.team.svn.connector.svnkit16",1313444152478
started,bundle,org.jboss.tools.seam.ui,3.0.2.v200910211631N-H194-GA,"org.jboss.tools.seam.ui",1313444152479
started,bundle,org.eclipse.dltk.core,1.0.2.v20100209-1928,"org.eclipse.dltk.core",1313444152482
started,bundle,org.eclipse.dltk.launching,1.0.1.v20090910-1601,"org.eclipse.dltk.launching",1313444152484
started,bundle,org.eclipse.dltk.ui,1.0.2.v20100209-1928,"org.eclipse.dltk.ui",1313444152490
started,bundle,org.eclipse.emf.validation,1.3.0.v200901271722,"org.eclipse.emf.validation",1313444152490
started,bundle,org.eclipse.m2m.atl.adt.ui,3.0.2.v201001190421,"org.eclipse.m2m.atl.adt.ui",1313444152491
started,bundle,org.eclipse.php.core,2.1.1.v20090921-1100,"org.eclipse.php.core",1313444152493
started,bundle,org.eclipse.php.debug.core,2.1.1.v20090921-1100,"org.eclipse.php.debug.core",1313444152496
started,bundle,org.eclipse.php.debug.daemon,2.1.1.v20090707-1108,"org.eclipse.php.debug.daemon",1313444152497
started,bundle,org.eclipse.php.debug.ui,2.1.1.v20090921-1100,"org.eclipse.php.debug.ui",1313444152499
started,bundle,org.eclipse.php.server.core,2.1.1.v20090707-1108,"org.eclipse.php.server.core",1313444152500
started,bundle,org.eclipse.php.ui,2.1.1.v20090921-1100,"org.eclipse.php.ui",1313444152504
started,bundle,org.eclipse.stp.sca,2.0.1.201002010854,"org.eclipse.stp.sca",1313444152507
started,bundle,org.eclipse.stp.sca.common.java,2.0.1.201002010854,"org.eclipse.stp.sca.common.java",1313444152508
started,bundle,org.eclipse.stp.sca.domainmodel.frascati,2.0.1.201002010854,"org.eclipse.stp.sca.domainmodel.frascati",1313444152509
started,bundle,org.eclipse.tptp.platform.profile.server.wst,4.3.301.v201002100300,"org.eclipse.tptp.platform.profile.server.wst",1313444152511
started,bundle,org.eclipse.uml2.diagram.common,0.9.0.v200906190654,"org.eclipse.uml2.diagram.common",1313444152513
started,bundle,org.eclipse.uml2.uml,3.0.1.v200908281330,"org.eclipse.uml2.uml",1313444152517
started,bundle,org.eclipse.xtend.typesystem.emf.ui,0.7.2.v200908120436,"org.eclipse.xtend.typesystem.emf.ui",1313444152519
started,bundle,org.jboss.tools.common,3.0.1.GA-R200905070146-H18,"org.jboss.tools.common",1313444152520
started,bundle,org.jboss.tools.common.model,3.0.1.GA-R200905070146-H18,"org.jboss.tools.common.model",1313444152522
started,bundle,org.jboss.tools.common.verification.ui,3.0.2.v200910211631N-H194-GA,"org.jboss.tools.common.verification.ui",1313444152524
started,bundle,org.jboss.tools.jsf.ui,3.0.2.v200910211631N-H194-GA,"org.jboss.tools.jsf.ui",1313444152526
started,bundle,org.jboss.tools.jst.web.ui,3.0.2.v200910211631N-H194-GA,"org.jboss.tools.jst.web.ui",1313444152527
started,bundle,org.jboss.tools.seam.core,3.0.1.GA-R200905070146-H18,"org.jboss.tools.seam.core",1313444152528
started,bundle,org.jboss.ide.eclipse.as.core,2.1.1.v201006011046R-H111-GA,"org.jboss.ide.eclipse.as.core",1313444152529
started,bundle,org.jboss.ide.eclipse.as.ui,2.1.1.v201006011046R-H111-GA,"org.jboss.ide.eclipse.as.ui",1313444152529
started,bundle,org.jboss.tools.vpe.xulrunner,3.0.1.GA-R200905070146-H18,"org.jboss.tools.vpe.xulrunner",1313444152531
started,bundle,org.eclipse.mylyn.bugzilla.core,3.6.0.v20110608-1400,"org.eclipse.mylyn.bugzilla.core",1313444152533
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.bugzilla.ui",1313444152535
started,bundle,org.eclipse.mylyn.commons.identity,0.8.0.v20110608-1400,"org.eclipse.mylyn.commons.identity",1313444152536
started,bundle,org.eclipse.mylyn.commons.net,3.6.0.v20110608-1400,"org.eclipse.mylyn.commons.net",1313444152536
started,bundle,org.eclipse.mylyn.commons.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.commons.ui",1313444152538
started,bundle,org.eclipse.mylyn.context.core,3.6.0.v20110608-1400,"org.eclipse.mylyn.context.core",1313444152540
started,bundle,org.eclipse.mylyn.context.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.context.ui",1313444152541
started,bundle,org.eclipse.mylyn.monitor.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.monitor.ui",1313444152543
started,bundle,org.eclipse.mylyn.tasks.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.tasks.ui",1313444152546
started,bundle,org.eclipse.mylyn.team.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.team.ui",1313444152548
started,bundle,org.eclipse.epp.usagedata.gathering,1.1.1.R201001291118,"org.eclipse.epp.usagedata.gathering",1313444152549
started,bundle,org.eclipse.epp.usagedata.recording,1.1.1.R201001291118,"org.eclipse.epp.usagedata.recording",1313444152551
started,bundle,org.eclipse.egit.core,1.0.0.201106090707-r,"org.eclipse.egit.core",1313444152554
started,bundle,org.eclipse.egit.ui,1.0.0.201106090707-r,"org.eclipse.egit.ui",1313444152558
started,bundle,org.eclipse.jgit,1.0.0.201106090707-r,"org.eclipse.jgit",1313444152558
started,bundle,org.eclipse.mylyn.github.ui,1.0.0.201106220257-r,"org.eclipse.mylyn.github.ui",1313444152560
started,bundle,org.jboss.tools.vpe,3.0.1.GA-R200905070146-H18,"org.jboss.tools.vpe",1313444152560
os,sysinfo,,,"win32",1313444152569
arch,sysinfo,,,"x86",1313444152569
ws,sysinfo,,,"win32",1313444152569
locale,sysinfo,,,"en_US",1313444152569
processors,sysinfo,,,"2",1313444152569
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1313444152569
java.runtime.version,sysinfo,,,"1.6.0_23-b05",1313444152569
java.specification.name,sysinfo,,,"Java Platform API Specification",1313444152569
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1313444152569
java.specification.version,sysinfo,,,"1.6",1313444152569
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1313444152569
java.version,sysinfo,,,"1.6.0_23",1313444152569
java.vm.info,sysinfo,,,"mixed mode, sharing",1313444152569
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1313444152569
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1313444152569
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1313444152569
java.vm.specification.version,sysinfo,,,"1.0",1313444152569
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1313444152569
java.vm.version,sysinfo,,,"19.0-b09",1313444152569
activated,view,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.ProjectExplorer",1313444153783
activated,view,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.ProjectExplorer",1313444153796
closed,view,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.internal.introview",1313444153877
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1313444154385
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1313444155886
started,bundle,org.jboss.ide.eclipse.archives.core,3.1.1.v201006011046R-H111-GA,"org.jboss.ide.eclipse.archives.core",1313444162919
started,bundle,org.jboss.ide.eclipse.archives.ui,3.1.1.v201006011046R-H111-GA,"org.jboss.ide.eclipse.archives.ui",1313444162919
started,bundle,org.jboss.ide.eclipse.archives.webtools,2.1.1.v201006011046R-H111-GA,"org.jboss.ide.eclipse.archives.webtools",1313444163034
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1313444165893
started,bundle,org.eclipse.compare,3.5.2.r35x_20100113-0800,"org.eclipse.compare",1313444165934
started,bundle,org.eclipse.jdt.launching,3.5.1.v20100108_r352,"org.eclipse.jdt.launching",1313444167195
started,bundle,org.eclipse.jst.jee.ui,1.0.201.v201002021208,"org.eclipse.jst.jee.ui",1313444175921
started,bundle,org.eclipse.jst.servlet.ui,1.1.301.v200908101600,"org.eclipse.jst.servlet.ui",1313444175966
started,bundle,org.eclipse.jst.j2ee.navigator.ui,1.1.301.v201001252130,"org.eclipse.jst.j2ee.navigator.ui",1313444176493
started,bundle,org.jboss.tools.esb.project.ui,1.3.1.v201006011046R-H111-GA,"org.jboss.tools.esb.project.ui",1313444177282
started,bundle,org.jboss.ide.eclipse.as.wtp.core,2.1.1.v201006011046R-H111-GA,"org.jboss.ide.eclipse.as.wtp.core",1313444177316
started,bundle,org.jboss.tools.esb.project.core,1.3.1.v201006011046R-H111-GA,"org.jboss.tools.esb.project.core",1313444177351
started,bundle,org.eclipse.bpel.runtimes,0.5.0.v20110623-1252-H77-CI,"org.eclipse.bpel.runtimes",1313444177536
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1313444179544
started,bundle,org.hibernate.eclipse.jdt.ui,3.3.1.v201006011046R-H111-GA,"org.hibernate.eclipse.jdt.ui",1313444179733
started,bundle,org.hibernate.eclipse,3.3.1.v201006011046R-H111-GA,"org.hibernate.eclipse",1313444181038
started,bundle,org.hibernate.eclipse.console,3.3.1.v201006011046R-H111-GA,"org.hibernate.eclipse.console",1313444181455
started,bundle,org.eclipse.jdt.apt.core,3.3.202.R35x_v20091130-2300,"org.eclipse.jdt.apt.core",1313444181553
started,bundle,org.eclipse.jdt.apt.pluggable.core,1.0.201.R35x_v20090925-1100,"org.eclipse.jdt.apt.pluggable.core",1313444181640
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1313444183574
started,bundle,org.eclipse.gmf.xpand.migration,1.0.0.v20090608-0720,"org.eclipse.gmf.xpand.migration",1313444183918
started,bundle,org.jboss.tools.common.model.ui,3.0.1.GA-R200905070146-H18,"org.jboss.tools.common.model.ui",1313444186371
started,bundle,org.eclipse.ltk.core.refactoring,3.5.0.v20090513-2000,"org.eclipse.ltk.core.refactoring",1313444189065
started,bundle,org.eclipse.ltk.ui.refactoring,3.4.101.r352_v20100209,"org.eclipse.ltk.ui.refactoring",1313444189072
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1313444193876
started,bundle,org.eclipse.mylyn.ide.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.ide.ui",1313444199307
error,log,,,"Ignoring template 'getterbody' since validation failed.",1313444200854
error,log,,,"Ignoring template 'setterbody' since validation failed.",1313444200860
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1313444202031
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1313444202229
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1313444202379
started,bundle,org.eclipse.mylyn.resources.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.resources.ui",1313444202512
started,bundle,org.eclipse.emf.mint,0.8.0.v200906161513,"org.eclipse.emf.mint",1313444202699
started,bundle,org.eclipse.emf.mint.ui,0.8.0.v200906161513,"org.eclipse.emf.mint.ui",1313444202707
started,bundle,org.eclipse.compare.core,3.5.0.I20090430-0408,"org.eclipse.compare.core",1313444206657
opened,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1313444206892
started,bundle,org.eclipse.jdt.debug,3.5.0.v20090526,"org.eclipse.jdt.debug",1313444207754
started,bundle,org.eclipse.jdt.debug.ui,3.4.1.v20090811_r351,"org.eclipse.jdt.debug.ui",1313444208025
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1313444208156
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1313444217615
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1313444219692
error,log,,,"Part already exists in page layout: org.eclipse.egit.ui.RepositoriesView.",1313444219840
opened,view,org.eclipse.egit.ui,1.0.0.201106090707-r,"org.eclipse.egit.ui.RepositoriesView",1313444220552
opened,view,org.eclipse.ui.views,3.4.1.M20090826-0800,"org.eclipse.ui.views.PropertySheet",1313444220760
activated,perspective,org.eclipse.egit.ui,1.0.0.201106090707-r,"org.eclipse.egit.ui.GitRepositoryExploring",1313444220831
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.perspectives.showPerspective",1313444220997
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.perspectives.showPerspective",1313444220997
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1313444221137
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1313444223470
activated,view,org.eclipse.egit.ui,1.0.0.201106090707-r,"org.eclipse.egit.ui.RepositoriesView",1313444224327
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1313444230255
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1313444252655
executed,command,org.eclipse.egit.ui,1.0.0.201106090707-r,"org.eclipse.egit.ui.RepositoriesViewAddRepository",1313444252722
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1313444267840
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.paste",1313444274323
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1313444275371
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1313444275716
started,bundle,org.eclipse.equinox.security.ui,1.0.100.v20090520-1800,"org.eclipse.equinox.security.ui",1313444283537
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1313444294708
executed,command,org.eclipse.egit.ui,1.0.0.201106090707-r,"org.eclipse.egit.ui.RepositoriesViewNewRemote",1313444294733
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1313444296508
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.paste",1313444302721
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1313444303817
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1313444304018
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1313444319066
